School name,ASP,AA,School Type,Regional council,Territorial authority,Financial Service Provider,Location
William Colenso College #220,Oldershaw & Co Chartered Accountants,Marc Nel,Secondary - State,Hawke's Bay Region,Napier City,Education Services,"-39.506065, 176.895837"
Iona College #224,Oldershaw & Co Chartered Accountants,Marc Nel,Secondary - State : Integrated,Hawke's Bay Region,Hastings District,In-House provision,"-39.679047, 176.878964"
Saint John's College (Hastings) #226,Oldershaw & Co Chartered Accountants,Marc Nel,Secondary - State : Integrated,Hawke's Bay Region,Hastings District,Education Services,"-39.639766, 176.857153"
Hastings Girls' High School #228,Oldershaw & Co Chartered Accountants,Marc Nel,Secondary - State,Hawke's Bay Region,Hastings District,Education Services,"-39.627208, 176.834762"
Hukarere College #435,Oldershaw & Co Chartered Accountants,Marc Nel,Secondary - State : Integrated,Hawke's Bay Region,Hastings District,Education Services,"-39.388598, 176.827695"
Tiaho Primary School #1669,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State,Hawke's Bay Region,Wairoa District,Eclypse,"-39.04303, 177.419994"
Ruakituri School #1675,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State,Hawke's Bay Region,Wairoa District,Eclypse,"-38.770748, 177.411364"
Kowhai School #2588,Oldershaw & Co Chartered Accountants,Marc Nel,Special School - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.64652, 176.841567"
Onekawa School #2628,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State,Hawke's Bay Region,Napier City,Eclypse,"-39.505535, 176.893107"
Pakowhai School #2638,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.581205, 176.863311"
Patoka School #2642,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.347197, 176.605376"
Porritt School #2647,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State,Hawke's Bay Region,Napier City,Eclypse,"-39.516268, 176.865427"
Port Ahuriri School #2648,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State,Hawke's Bay Region,Napier City,Eclypse,"-39.485684, 176.8984"
Puketapu School (Hawke's Bay) #2654,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.506323, 176.791193"
Putere School #2657,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State,Hawke's Bay Region,Wairoa District,Eclypse,"-38.943664, 177.027722"
Putorino School #2658,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.134348, 177.00688"
Sherenden and Districts School #2672,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.505728, 176.575118"
Saint Joseph's School (Hastings) #2677,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State : Integrated,Hawke's Bay Region,Hastings District,Eclypse,"-39.646231, 176.846363"
Saint Joseph's School (Wairoa) #2679,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State : Integrated,Hawke's Bay Region,Wairoa District,Eclypse,"-39.034809, 177.420177"
Takapau School #2684,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State,Hawke's Bay Region,Central Hawke's Bay District,Eclypse,"-40.025336, 176.34649"
Tamatea Intermediate #2685,Oldershaw & Co Chartered Accountants,Marc Nel,Intermediate/Restricted Composite - State,Hawke's Bay Region,Napier City,Eclypse,"-39.514748, 176.872722"
Tamatea School #2686,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State,Hawke's Bay Region,Napier City,Eclypse,"-39.508991, 176.86843"
Taradale Intermediate #2687,Oldershaw & Co Chartered Accountants,Marc Nel,Intermediate/Restricted Composite - State,Hawke's Bay Region,Napier City,Eclypse,"-39.538776, 176.851551"
Taradale School #2688,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State,Hawke's Bay Region,Napier City,Eclypse,"-39.534894, 176.843615"
Te Awa School #2691,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State,Hawke's Bay Region,Napier City,Eclypse,"-39.511461, 176.916673"
Te Pohue School #2698,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.253028, 176.683117"
Tutira School #2710,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.203001, 176.881858"
Saint Patrick's School (Napier) #2745,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State : Integrated,Hawke's Bay Region,Napier City,Eclypse,"-39.503727, 176.895636"
Parkside Christian Seventh Day Adventist School #4107,Oldershaw & Co Chartered Accountants,Marc Nel,Primary - State : Integrated,Hawke's Bay Region,Napier City,The School Office,"-39.526062, 176.865859"
Saint John's College (Hillcrest) #136,Owen McLeod and Co. Limited,Marilyn Castillo,Secondary - State : Integrated,Waikato Region,Hamilton City,SRN Partners Chartered Accountants Ltd,"-37.791339, 175.317501"
Te Kura Kaupapa Maori o Toku Mapihi Maurea #1589,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State - Kura/character,Waikato Region,Hamilton City,Education Services,"-37.788589, 175.324236"
Aria School #1687,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Waitomo District,Education Services,"-38.563158, 174.985763"
Cambridge Primary School #1702,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Waipa District,Solutions and Services,"-37.895329, 175.467817"
Frankton School #1721,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Hamilton City,Solutions and Services,"-37.793252, 175.249637"
Horahora School (Cambridge) #1744,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Waipa District,SRN Partners Chartered Accountants Ltd,"-37.981267, 175.625366"
Kinohaku School #1778,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Waitomo District,Bailey Ingham Limited,"-38.159021, 174.822338"
Koromatua School #1784,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Waipa District,Education Services,"-37.831616, 175.207492"
Maihiihi School #1793,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Otorohanga District,Accounting For Schools,"-38.217565, 175.386643"
Melville Primary School #1824,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Hamilton City,Education Services,"-37.814238, 175.283492"
Newstead Model School #1843,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Waikato District,Education Services,"-37.776429, 175.359004"
Ngahinapouri School #1844,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Waipa District,Accounting For Schools,"-37.897937, 175.205324"
Ohinewai School #1856,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Waikato District,Education Services,"-37.492892, 175.157807"
Orini Combined School #1869,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Waikato District,Education Services,"-37.554648, 175.316113"
Saint Marys Catholic School (Otorohanga) #1880,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State : Integrated,Waikato Region,Otorohanga District,Education Services,"-38.182248, 175.209675"
Paterangi School #1889,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Waipa District,Education Services,"-37.950568, 175.244242"
Piopio Primary School #1895,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Waitomo District,Education Services,"-38.47155, 175.014753"
Puahue School #1902,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Waipa District,Education Services,"-38.036459, 175.409281"
Silverdale Normal School #1940,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Hamilton City,Education Services,"-37.792878, 175.329298"
Saint Paul's Catholic School (Ngaruawahia) #1963,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State : Integrated,Waikato Region,Waikato District,Education Services,"-37.672652, 175.155337"
Te Kura O Tahaaroa #1971,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Waitomo District,Education Services,"-38.149441, 174.732873"
Tauhei Combined School #1985,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Matamata-Piako District,Education Services,"-37.602195, 175.429338"
Te Mata School (Raglan) #2010,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Waikato District,Bizworx Consultancy Limited,"-37.880361, 174.867008"
Te Uku School #2024,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Waikato District,SRN Partners Chartered Accountants Ltd,"-37.828021, 174.957155"
Tokoroa Intermediate #2037,Owen McLeod and Co. Limited,Marilyn Castillo,Intermediate/Restricted Composite - State,Waikato Region,South Waikato District,Education Services,"-38.227692, 175.859139"
Waitetuna School #2071,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Waikato District,Bizworx Consultancy Limited,"-37.846604, 175.030893"
Whitikahu School #2090,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Waikato District,Education Services,"-37.611213, 175.345927"
Woodstock School #2093,Owen McLeod and Co. Limited,Marilyn Castillo,Primary - State,Waikato Region,Hamilton City,Education Services,"-37.768756, 175.273488"
Kerikeri High School #5,Silks Audit Chartered Accountants Limited,Mark Fraser,Secondary - State,Northland Region,Far North District,BDO Kerikeri,"-35.228354, 173.955389"
Bay Of Islands College #8,Silks Audit Chartered Accountants Limited,Mark Fraser,Secondary - State,Northland Region,Far North District,Solutions and Services,"-35.379502, 174.075901"
Northland College #9,Silks Audit Chartered Accountants Limited,Mark Fraser,Secondary - State,Northland Region,Far North District,In-House provision,"-35.413889, 173.809917"
Taupo Nui-A-Tia College #167,Silks Audit Chartered Accountants Limited,Mark Fraser,Secondary - State,Waikato Region,Taupo District,In-House provision,"-38.681065, 176.078757"
Opunake High School #181,Silks Audit Chartered Accountants Limited,Mark Fraser,Secondary - State,Taranaki Region,South Taranaki District,Education Services,"-39.45064, 173.851541"
Ruapehu College #183,Silks Audit Chartered Accountants Limited,Mark Fraser,Secondary - State,Manawatu-Wanganui Region,Ruapehu District,Solutions and Services,"-39.41725, 175.412796"
Patea Area School #185,Silks Audit Chartered Accountants Limited,Mark Fraser,Composite - State,Taranaki Region,South Taranaki District,Education Services,"-39.76142, 174.481481"
Taradale High School #215,Silks Audit Chartered Accountants Limited,Mark Fraser,Secondary - State,Hawke's Bay Region,Napier City,In-House provision,"-39.542065, 176.849976"
Sacred Heart College (Napier) #219,Silks Audit Chartered Accountants Limited,Mark Fraser,Secondary - State : Integrated,Hawke's Bay Region,Napier City,In-House provision,"-39.482828, 176.911425"
Saint Joseph's Maori Girls' College #222,Silks Audit Chartered Accountants Limited,Mark Fraser,Secondary - State : Integrated,Hawke's Bay Region,Napier City,Eclypse,"-39.526564, 176.85548"
Oturu School #1071,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Northland Region,Far North District,Education Services,"-35.09327, 173.285688"
Tasman Bay Christian School #1178,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State : Integrated,Tasman Region,Tasman District,Solutions and Services,"-41.195405, 173.055609"
Mountview School #1836,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Waikato Region,Taupo District,School Finance Hub,"-38.683174, 176.092042"
Waipahihi School #2065,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Waikato Region,Taupo District,The School Office,"-38.717522, 176.08711"
Wairere School #2075,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Waikato Region,Matamata-Piako District,Education Services,"-37.72336, 175.778843"
Matiere School #2195,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Manawatu-Wanganui Region,Ruapehu District,Education Services,"-38.764669, 175.102121"
Mokoia School #2201,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Taranaki Region,South Taranaki District,Education Finance,"-39.626132, 174.36939"
Normanby School #2207,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Taranaki Region,South Taranaki District,Education Services,"-39.54089, 174.272881"
Ramanui School #2226,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Taranaki Region,South Taranaki District,Education Services,"-39.599619, 174.280051"
Ratapiko School #2227,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Taranaki Region,New Plymouth District,Education Services,"-39.20033, 174.322325"
Bulls School #2343,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Manawatu-Wanganui Region,Rangitikei District,Naylor Lawrence & Associates,"-40.168741, 175.385156"
Keith Street School #2378,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Manawatu-Wanganui Region,Whanganui District,Education Services,"-39.922316, 175.046264"
Te Kura Kaupapa Maori O Ngati Ruanui #2383,Silks Audit Chartered Accountants Limited,Mark Fraser,Composite - State - Kura/character,Taranaki Region,South Taranaki District,Education Services,"-39.592044, 174.269906"
Te Kura o Kokohuia #2384,Silks Audit Chartered Accountants Limited,Mark Fraser,Composite - State,Manawatu-Wanganui Region,Whanganui District,Education Services,"-39.943697, 175.004318"
Mangamahu Primary School #2391,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Manawatu-Wanganui Region,Whanganui District,Education Services,"-39.81776, 175.362156"
National Park School #2405,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Manawatu-Wanganui Region,Ruapehu District,Education Services,"-39.172556, 175.397776"
Newbury School #2406,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Manawatu-Wanganui Region,Manawatu District,OBSL,"-40.315383, 175.57127"
Pukeokahu School #2428,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Manawatu-Wanganui Region,Rangitikei District,Education Services,"-39.615968, 176.00161"
South Makirikiri School #2446,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Manawatu-Wanganui Region,Rangitikei District,Education Services,"-40.086722, 175.309685"
Saint Anne's School (Wanganui) #2447,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State : Integrated,Manawatu-Wanganui Region,Whanganui District,Education Services,"-39.9201, 175.067237"
Waitotara School #2474,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Taranaki Region,South Taranaki District,Education Services,"-39.804515, 174.736281"
Whangaehu School #2482,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Manawatu-Wanganui Region,Rangitikei District,Education Services,"-40.006511, 175.175478"
Gisborne Central School #2564,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Gisborne Region,Gisborne District,BDO Gisborne,"-38.654952, 178.030442"
Saint Mary's Catholic School (Gisborne) #2680,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State : Integrated,Gisborne Region,Gisborne District,Eclypse,"-38.648417, 177.990033"
Te Hapara School #2692,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Gisborne Region,Gisborne District,Eclypse,"-38.651399, 178.00129"
Lower Moutere School #3200,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State,Tasman Region,Tasman District,Solutions and Services,"-41.154344, 172.995271"
Saint Peter Chanel School (Motueka) #3222,Silks Audit Chartered Accountants Limited,Mark Fraser,Primary - State : Integrated,Tasman Region,Tasman District,Solutions and Services,"-41.126308, 173.010998"
